subjectID	set	memorisation	flip	block	visibility	category	rt	acc	catacc	keys	catkeys	catRTs	section
P01	set1	memorisation_1	flip	block7	foil	3	0.000	0	0	0	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	foil	4	0.000	0	0	0	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	full	3	0.696	1	0	38	65	1.057	memtest_1
P01	set1	memorisation_1	flip	block7	box 	4	0.851	1	0	40	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	foil	1	0.622	1	1	38	65	0.924	memtest_1
P01	set1	memorisation_1	flip	block7	full	4	0.770	0	0	37	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	box 	1	0.719	0	0	38	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	foil	2	0.824	0	0	40	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	box 	3	0.699	0	0	38	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	full	2	0.709	0	0	40	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	box 	2	0.635	0	0	38	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	memtest_1
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	full	1	0.724	0	0	40	0	0.000	studyphase
