"","fname1","fnamenoext","resize","no","category","newname","transp","blur","catord","trans_order","realnumber"
"1","resize_20_person_box_null.jpg","resize_20_person_box_null","resize","20","person","1_person_box_null","box","null",1,1,1
"2","resize_20_person_empty_H.jpg","resize_20_person_empty_H","resize","20","person","1_person_empty_H","empty","H",1,2,1
"3","resize_20_person_empty_L.jpg","resize_20_person_empty_L","resize","20","person","1_person_empty_L","empty","L",1,2,1
"4","resize_20_person_empty_M.jpg","resize_20_person_empty_M","resize","20","person","1_person_empty_M","empty","M",1,2,1
"5","resize_20_person_full_null.jpg","resize_20_person_full_null","resize","20","person","1_person_full_null","full","null",1,0,1
"6","resize_20_person_trans_H.jpg","resize_20_person_trans_H","resize","20","person","1_person_trans_H","trans","H",1,3,1
"7","resize_20_person_trans_L.jpg","resize_20_person_trans_L","resize","20","person","1_person_trans_L","trans","L",1,3,1
"8","resize_20_person_trans_M.jpg","resize_20_person_trans_M","resize","20","person","1_person_trans_M","trans","M",1,3,1
"9","resize_26_person_box_null.jpg","resize_26_person_box_null","resize","26","person","5_person_box_null","box","null",1,1,5
"10","resize_26_person_empty_H.jpg","resize_26_person_empty_H","resize","26","person","5_person_empty_H","empty","H",1,2,5
"11","resize_26_person_empty_L.jpg","resize_26_person_empty_L","resize","26","person","5_person_empty_L","empty","L",1,2,5
"12","resize_26_person_empty_M.jpg","resize_26_person_empty_M","resize","26","person","5_person_empty_M","empty","M",1,2,5
"13","resize_26_person_full_null.jpg","resize_26_person_full_null","resize","26","person","5_person_full_null","full","null",1,0,5
"14","resize_26_person_trans_H.jpg","resize_26_person_trans_H","resize","26","person","5_person_trans_H","trans","H",1,3,5
"15","resize_26_person_trans_L.jpg","resize_26_person_trans_L","resize","26","person","5_person_trans_L","trans","L",1,3,5
"16","resize_26_person_trans_M.jpg","resize_26_person_trans_M","resize","26","person","5_person_trans_M","trans","M",1,3,5
"17","resize_30_person_box_null.jpg","resize_30_person_box_null","resize","30","person","9_person_box_null","box","null",1,1,9
"18","resize_30_person_empty_H.jpg","resize_30_person_empty_H","resize","30","person","9_person_empty_H","empty","H",1,2,9
"19","resize_30_person_empty_L.jpg","resize_30_person_empty_L","resize","30","person","9_person_empty_L","empty","L",1,2,9
"20","resize_30_person_empty_M.jpg","resize_30_person_empty_M","resize","30","person","9_person_empty_M","empty","M",1,2,9
"21","resize_30_person_full_null.jpg","resize_30_person_full_null","resize","30","person","9_person_full_null","full","null",1,0,9
"22","resize_30_person_trans_H.jpg","resize_30_person_trans_H","resize","30","person","9_person_trans_H","trans","H",1,3,9
"23","resize_30_person_trans_L.jpg","resize_30_person_trans_L","resize","30","person","9_person_trans_L","trans","L",1,3,9
"24","resize_30_person_trans_M.jpg","resize_30_person_trans_M","resize","30","person","9_person_trans_M","trans","M",1,3,9
"25","resize_34_person_box_null.jpg","resize_34_person_box_null","resize","34","person","13_person_box_null","box","null",1,1,13
"26","resize_34_person_empty_H.jpg","resize_34_person_empty_H","resize","34","person","13_person_empty_H","empty","H",1,2,13
"27","resize_34_person_empty_L.jpg","resize_34_person_empty_L","resize","34","person","13_person_empty_L","empty","L",1,2,13
"28","resize_34_person_empty_M.jpg","resize_34_person_empty_M","resize","34","person","13_person_empty_M","empty","M",1,2,13
"29","resize_34_person_full_null.jpg","resize_34_person_full_null","resize","34","person","13_person_full_null","full","null",1,0,13
"30","resize_34_person_trans_H.jpg","resize_34_person_trans_H","resize","34","person","13_person_trans_H","trans","H",1,3,13
"31","resize_34_person_trans_L.jpg","resize_34_person_trans_L","resize","34","person","13_person_trans_L","trans","L",1,3,13
