"","fname2","fnamenoext","no","newname","category","transp","blur","catord","trans_order","realnumber"
"1","01_person_box_null.jpg","01_person_box_null","01","1_person_box_null","person","box","null",1,1,1
"2","01_person_empty_H.jpg","01_person_empty_H","01","1_person_empty_H","person","empty","H",1,2,1
"3","01_person_empty_L.jpg","01_person_empty_L","01","1_person_empty_L","person","empty","L",1,2,1
"4","01_person_empty_M.jpg","01_person_empty_M","01","1_person_empty_M","person","empty","M",1,2,1
"5","01_person_full_null.jpg","01_person_full_null","01","1_person_full_null","person","full","null",1,0,1
"6","01_person_lowtrans_H.jpg","01_person_lowtrans_H","01","1_person_lowtrans_H","person","lowtrans","H",1,4,1
"7","01_person_lowtrans_L.jpg","01_person_lowtrans_L","01","1_person_lowtrans_L","person","lowtrans","L",1,4,1
"8","01_person_lowtrans_M.jpg","01_person_lowtrans_M","01","1_person_lowtrans_M","person","lowtrans","M",1,4,1
"9","01_person_trans_H.jpg","01_person_trans_H","01","1_person_trans_H","person","trans","H",1,3,1
"10","01_person_trans_L.jpg","01_person_trans_L","01","1_person_trans_L","person","trans","L",1,3,1
"11","01_person_trans_M.jpg","01_person_trans_M","01","1_person_trans_M","person","trans","M",1,3,1
"12","03_person_box_null.jpg","03_person_box_null","03","5_person_box_null","person","box","null",1,1,5
"13","03_person_empty_H.jpg","03_person_empty_H","03","5_person_empty_H","person","empty","H",1,2,5
"14","03_person_empty_L.jpg","03_person_empty_L","03","5_person_empty_L","person","empty","L",1,2,5
"15","03_person_empty_M.jpg","03_person_empty_M","03","5_person_empty_M","person","empty","M",1,2,5
"16","03_person_full_null.jpg","03_person_full_null","03","5_person_full_null","person","full","null",1,0,5
"17","03_person_lowtrans_H.jpg","03_person_lowtrans_H","03","5_person_lowtrans_H","person","lowtrans","H",1,4,5
"18","03_person_lowtrans_L.jpg","03_person_lowtrans_L","03","5_person_lowtrans_L","person","lowtrans","L",1,4,5
"19","03_person_lowtrans_M.jpg","03_person_lowtrans_M","03","5_person_lowtrans_M","person","lowtrans","M",1,4,5
"20","03_person_trans_H.jpg","03_person_trans_H","03","5_person_trans_H","person","trans","H",1,3,5
"21","03_person_trans_L.jpg","03_person_trans_L","03","5_person_trans_L","person","trans","L",1,3,5
"22","03_person_trans_M.jpg","03_person_trans_M","03","5_person_trans_M","person","trans","M",1,3,5
"23","04_person_box_null.jpg","04_person_box_null","04","9_person_box_null","person","box","null",1,1,9
"24","04_person_empty_H.jpg","04_person_empty_H","04","9_person_empty_H","person","empty","H",1,2,9
"25","04_person_empty_L.jpg","04_person_empty_L","04","9_person_empty_L","person","empty","L",1,2,9
